restaurantName,address,city,postalCode,country,priceRange,cuisineType,description,facilitiesServices,creditCards,phoneNumber,website,postalCode_clean,latitude,longitude,region
L'Oste Scuro,vicolo San Silvestro 10,Verona,37122, Italy,€€€,"Seafood, Modern Cuisine","Nice family trattoria atmosphere in a popular, central fashionable location that stresses the freshness of the proprietor's dishes: fish.","['Air conditioning', 'Interesting wine list', 'Terrace']","['Amex', 'Mastercard', 'Visa']",+39 045 592650,https://www.ristoranteostescuro.tv,37122,45.43524289425287,10.989343493453273,Veneto
Bistrot Donatella,piazza Umberto I 1,Oviglio,15026, Italy,€€,"Piedmontese, Traditional Cuisine","This restaurant in a small village dominated by a bell tower boasts a charming inner courtyard which provides a romantic setting for a meal in fine weather. The Piedmontese cuisine served here is prepared using top-quality ingredients. A friendly welcome completes the picture, making this an enjoyable dining experience.","['Air conditioning', 'Terrace', 'Wheelchair access']","['Mastercard', 'Visa']",+39 0131 776907,https://www.donatellabistrot.it,15026,44.84786634285714,8.459652014285714,Piemonte
Vicolo Colombina,vicolo Colombina 5/b,Bologna,40123, Italy,€€,Traditional Cuisine,"Situated right in the heart of the historic centre among the narrow alleyways near the market and Piazza Maggiore, this restaurant serves traditional cuisine (no fish) with a subtle contemporary twist. Two modern dining rooms with modern decor, plus a wine list with a focus on regional labels.","['Air conditioning', 'Terrace']","['Amex', 'Dinersclub', 'Mastercard', 'Visa']",+39 051 233919,https://www.vicolocolombina.it/,40123,44.49182438639004,11.336281052614108,Emilia-Romagna
San Marco,via Alba 136,Canelli,14053, Italy,€€,"Piedmontese, Classic Cuisine","A long-established restaurant in the Asti region renowned for its regional cuisine, impeccable service and warm welcome. In the classic-style dining room the open fire is always lit, creating a cosy atmosphere.","['Air conditioning', 'Interesting wine list']","['Amex', 'Dinersclub', 'Mastercard', 'Visa']",+39 0141 823544,https://www.sanmarcoristorante.it,14053,44.72006615,8.287396664285716,Piemonte
Corte Federiciana,corso Garibaldi 60,Apricena,71011, Italy,€€,Seafood,"The dining room at this restaurant housed in the Palazzo Baronale’s old outbuildings in the historic centre of Apricena boasts an attractive brick-vaulted ceiling. The cuisine, which focuses mainly on fish and seafood (raw, cooked, baked in the oven or served with pasta), effortlessly combines traditional and modern flavours. A delightful welcome and friendly service complete the picture.","['Air conditioning', 'Car park', 'Wheelchair access']","['Amex', 'Mastercard', 'Visa']",+39 327 705 0523,http://www.cortefedericiana.it,71011,41.79233025,15.43682865,Puglia
L'800,via Centese 33,Sasso Marconi,40050, Italy,€,"Emilian, Traditional Cuisine","Period furniture, regional cuisine and a cheerful ambience are some of the characteristics of this old farmhouse which is named after the 1800s when it was built. Some of the ingredients used, such as snails and frogs’ legs, may come as a surprise: the restaurant specialises in these unusual delicacies, even offering a tasting menu totally dedicated to snails.","['Air conditioning', 'Car park', 'Terrace']","['Mastercard', 'Visa']",+39 051 893032,https://www.ristorante800.it/,40050,44.433626497159096,11.274624191477274,Emilia-Romagna
Terme,via Madonna Assunta,Pigna,18037, Italy,€,Ligurian,"Not far from the picturesque village of Pigna, this family-run hotel-restaurant has a simple, classic-style dining room where the main focus is on the equally simple and rustic cuisine, including the dish of goats’ meat and beans, a local speciality.","['Car park', 'Terrace']","['Mastercard', 'Visa']",+39 0184 241046,https://www.ristoranteterme.com/it/the-restaurant/,18037,43.938559768518516,7.666996847777778,Liguria
Lido 84,corso Zanardelli 196,Gardone Riviera,25083, Italy,€€€€,Creative,"Once you’ve left your car in the car park, a slight descent leads to this small corner of paradise boasting one of the most beautiful views of Lake Garda. Run by two brothers (one in the kitchen, the other front of house), this elegant restaurant is striking for its many decorative details. The cuisine here is full of flavour, with generous portions that give the impression that every meal at Lido 84 is Sunday lunch – joyous, festive and served in a relaxed and informal atmosphere. There’s also plenty of contact with the chefs, who often bring the dishes to the tables themselves. For a special occasion, we recommend booking the table in the small stone building in the splendid garden, with its classic decor and breathtaking views.","['Car park', 'Garden or park', 'Great view', 'Interesting wine list', 'Terrace', 'Wheelchair access']","['Amex', 'Dinersclub', 'Maestrocard', 'Mastercard', 'Visa']",+39 0365 20019,https://www.ristorantelido84.com/,25083,45.625543489516126,10.561087008870969,Lombardia
La Ciau del Tornavento,piazza Leopoldo Baracco 7,Alba,12050, Italy,€€€,"Italian Contemporary, Country cooking","Situated amid the Barbaresco hills just a few kilometres from Alba, this restaurant boasts views of the surrounding countryside, as well as an extraordinary wine cellar (which can be visited on request) and a quality of cuisine of the highest level. The menu offers an extensive choice of meat and fish dishes, from classic favourites to new creations, in a joint celebration of the past and present.","['Great view', 'Interesting wine list', 'Terrace', 'Wheelchair access']","['Amex', 'Mastercard', 'Visa']",+39 0173 638333,https://www.laciaudeltornavento.it/,12050,44.70288025244755,8.053961726573426,Piemonte
Da Cecco,piazza Belvedere Puccini 10/12,Viareggio,55049, Italy,€,Tuscan,"A cosylittle restaurant at the beginning of the lakefront. Mainly seafood dishes, though in the winter there is also game. Rustic atmosphere.","['Air conditioning', 'Terrace', 'Wheelchair access']","['Amex', 'Dinersclub', 'Maestrocard', 'Mastercard', 'Visa']",+39 0584 341022,https://ristorante-da-cecco-torre-del-lago-puccini-lu.business.site/,55049,43.85920435958904,10.25916555890411,Toscana
Locanda Mariella,località Fragnolo 29,Solignano,43030, Italy,€€,"Emilian, Modern Cuisine","You need to book at least 24hrs in advance at this restaurant by sending an email and your choice of the three menus on offer (traditional, meat or fish). This long-established, legendary restaurant is one of the best trattorias in the province, if not the region. Still run by the same family, it has been delighting guests in this corner of the Apennines since the 1960s.","['Car park', 'Terrace']","['Amex', 'Mastercard', 'Visa']",+39 0525 52102,http://locandamariella.it,43030,44.66318507,10.002272309999999,Emilia-Romagna
Phi Restaurant - Giancarlo Morelli,località Forte Cappellini,Arzachena,7021, Italy,€€€€,"Modern Cuisine, Mediterranean Cuisine","Glamour and fashion are the hallmarks of this restaurant in Phi Beach, one of the most attractive nightclub-cum-lounge bars on the Costa Smeralda. Take a seat on the terrace right by the water and soak up the romantic sunsets and sea views as you enjoy Italian and Mediterranean dishes created by a famous chef from Lombardy who adds just the right touch of contemporary flavour. Also open for lunch, with some of the evening menu dishes available alongside an array of simpler options.","['Car park', 'Great view', 'Restaurant offering vegetarian menus', 'Terrace']","['Amex', 'Dinersclub', 'Mastercard', 'Visa']",+39 0789 955012,https://www.phibeach.com/restaurant/,07021,41.098261414986425,9.440604933737557,Sardegna
Trattoria della Fortuna,Via Salaria 57,Monterotondo,15, Italy,€€,"Regional Cuisine, Seasonal Cuisine","This interior of this trattoria occupying an anonymous rural building at a road junction just outside the village comes as something of a surprise. Inside, the dining room has a warm ambience, with a friendly welcome offered by the female staff. The dishes here are authentic and full of flavour, with a focus on regional Italian traditions and top-quality local ingredients – all the pasta and desserts are homemade. We particularly recommend two of the specialities, namely the “Girella e Cartellata” (made using 36 egg yolks) stuffed with ricotta and goat’s cheese and served with a “ciauscolo” (a type of sausage typical of the Marche and Umbria) ragu and a red wine reduction. A small, simple pergola-shaded outdoor space completes the picture.","['Air conditioning', 'Terrace', 'Wheelchair access']","['Amex', 'Dinersclub', 'Mastercard', 'Visa']",+39 06 900 4098,http://www.trattoriadellafortuna.it,00015,42.056624794117646,12.613694878823528,Lazio
La Società Milano,via Panfilo Castaldi 19,Milano,20124, Italy,€€€,"Modern Cuisine, Seasonal Cuisine","Situated near Porta Venezia and its lush gardens, Giulia and Andrea’s restaurant boasts a warm and original ambience. Three dining rooms adorned with tapestries and an entrance with a fine white marble fireplace act as the setting for Mediterranean cuisine with the occasional exotic twist. Don’t miss the amberjack caponata in which the ceviche flavours contrast with the sweetness of the fried breaded aubergine.","['Air conditioning', 'Restaurant offering vegetarian menus', 'Terrace', 'Wheelchair access']","['Amex', 'Unionpay', 'Dinersclub', 'Maestrocard', 'Mastercard', 'Visa']",+39 02 2940 1119,https://lasocietamilano.it,20124,45.48416086156015,9.20137607824248,Lombardia
Trattoria I Masenini,via Roma 34,Verona,37121, Italy,€€,"Italian, Traditional Cuisine","Situated in an attractive part of Verona right opposite the famous Castelvecchio, this restaurant boasts a relaxing ambience with wood ceilings, classic yet informal furnishings, subtle lighting and soft background music. The menu features regional dishes alongside typical Italian fare, as well as the house speciality – meat kebabs cooked on a skewer. There’s also an outdoor space for alfresco dining in summer.","['Air conditioning', 'Terrace', 'Wheelchair access']","['Amex', 'Maestrocard', 'Mastercard', 'Visa']",+39 045 806 5169,https://trattoriaimasenini.it/,37121,45.44175980406345,10.996231336006083,Veneto
Une,via Fiorenzuola 37,Foligno,6034, Italy,€€€,"Creative, Umbrian","Situated in the heart of this town nestled amid the Umbrian countryside, Une serves two tasting menus (with varying numbers of courses) which follow the seasons: Acquedotto and Relazioni both feature modern and creative dishes prepared using a whole host of local ingredients. The desserts are absolutely superb – we particularly recommend the namelaka (a soft, delicious cream) with elderberry, the Mundo Novo coffee emulsion, and the date and caper ice cream.",['Counter dining'],"['Amex', 'Dinersclub', 'Mastercard', 'Visa']",+39 334 885 1903,https://ristoranteune.com/,06034,42.95571796054422,12.714751029931973,Umbria
Magnolia,via Pelliciano 35,Longiano, Longiano,47020,€€€€,"Creative, Contemporary","Situated in the elegant Relais Villa Margherita, an 18C villa converted into a stylish residence with just six guestrooms, verdant grounds and a swimming pool, Magnolia occupies a contemporary, veranda-style dining room with large picture windows boasting sweeping views of the Romagna hills as far as the mountainous “peak” of San Marino. Here, skilful chef Alberto Faccani serves a clever combination of the classic favourites that have marked his career, alongside other more unusual dishes that demonstrate a tireless search for experimentation. His contemporary style is elegant and balanced, as demonstrated by the delicate coconut milk sauce that provides the final flourish to his cuttlefish with caviar and peas.","['Air conditioning', 'Car park', 'Garden or park', 'Great view', 'Interesting wine list', 'Terrace', 'Wheelchair access']","['Amex', 'Mastercard', 'Visa']",+39 0547 81598,https://www.magnoliaristorante.it/, Longiano,44.0743778,12.3274733,Emilia-Romagna
Da Giannino - L'Angolo d'Abruzzo,via Rosolino Pilo 20,Milano,20129, Italy,€,"Cuisine from Abruzzo, Traditional Cuisine",A warm welcome combined with a simple but lively atmosphere and typical dishes from the Abruzzo region make this a popular place to eat. Generous portions and excellent roast dishes.,['Air conditioning'],"['Amex', 'Mastercard', 'Visa']",+39 02 2940 6526,httpss://da-giannino-langolo-dabruzzo.it,20129,45.470996157474225,9.213359185953609,Lombardia
Marcandole,via Argine Piave 7,Povegliano,31040, Italy,€€€,"Seafood, Modern Cuisine",This restaurant managed with passion has become a cornerstone of Treviso restaurants thanks to a fish cuisine contaminated by contemporary inspirations. Do not miss the raw specialties!,"['Air conditioning', 'Car park', 'Interesting wine list', 'Terrace']","['Amex', 'Mastercard', 'Visa']",+39 0422 807881,https://www.marcandole.it/,31040,45.76336346470588,12.193715719518716,Veneto
Soul & Fish,via Marina Grande,Sorrento,80067, Italy,€€€,Seafood,"From the centre of Sorrento, you follow a succession of roads downhill to Marina Grande, the town’s old, picturesque fishing village that is well worth a visit. Here, facing the water, you’ll find Soul & Fish, a seemingly traditional seaside restaurant that actually serves superb fish and seafood on a menu that combines traditional dishes with more creative options.",['Terrace'],"['Amex', 'Mastercard', 'Visa']",+39 081 878 2170,https://www.soulandfish.com/,80067,40.62593563733766,14.374795086688312,Campania
Baita Fraina,Località Fraina 1,Cortina d'Ampezzo,32043, Italy,€€€,"Country cooking, Classic Cuisine","Warm little bar rooms, reminiscent of the German wine bars or ""Stube"", a summer terrace and well - prepared regional dishes: for those who want to escape the mundane life of Cortina for the silence of an isolated ""baita"" [mountain hut]. Delightful rooms, colourfully furnished in warm tones so you can better enjoy the silence and scents of the mountains.","['Car park', 'Garden or park', 'Great view', 'Interesting wine list', 'Terrace']","['Amex', 'Mastercard', 'Visa']",+39 0436 3634,https://www.baitafraina.it/,32043,46.53644885997332,12.137498574649767,Veneto
Borgo Poscolle,via Poscolle 21/a,Lauco,33020, Italy,€,Traditional Cuisine,"Home - style cooking with a focus on regional specialities is served in this attractive family - run trattoria, which has its own organic vegetable garden and an educational ""pet therapy"" farm. The search for ingredients produced as close to home as possible is something of an obsession with the owner - chef, who is also passionate about his desserts. Make sure you try the millefeuille with strawberries and cream.","['Car park', 'Terrace', 'Wheelchair access']","['Dinersclub', 'Mastercard', 'Visa']",+39 366 491 5854,,33020,46.46663324834477,12.909685232190078,Friuli-Venezia Giulia
Emilio,via Girardi 1,, Fermo,63900,€€,"Seafood, Classic Cuisine","With 60 years of history behind it, Emilio can definitely be described as a leading light on the region’s restaurant scene. The restaurant is renowned for its excellent fish, which is usually cooked in classic style (fish stew and mixed steamed fish served on steamed vegetables are prime examples) and often announced at your table, although a concise menu is also available. The elegant dining room is enhanced by a collection of striking works of art.","['Car park', 'Terrace']","['Amex', 'Dinersclub', 'Mastercard', 'Visa']",+39 0734 640365,https://ristoranteemilio.it/, Fermo,43.0922489,13.638768067263769,Marche
Innesti,via San Pietro 8,Pergine Valsugana,38057, Italy,€€,"Modern Cuisine, Creative","Daniele and Elisa are a couple of young restaurateurs who are familiar to us from their time at Blumenstube in Sant'Orsola. Having moved on, they have now opened their own restaurant in Pergine, where both the decor and the cuisine are contemporary-Alpine in style. As in currently in vogue, their dishes are showcased on three tasting menus (short, medium and long) from which dishes can also be chosen à la carte style. All the recipes have a creative feel, demonstrating the chef’s playful approach to his contemporary ingredients.","['Air conditioning', 'Car park', 'Terrace', 'Wheelchair access']","['Mastercard', 'Visa']",+39 0461 158 3289,https://www.innestirestaurant.it/,38057,46.04811995224023,11.233590856625357,Trentino-Alto Adige
Romani,via dei Ronchi 2,Torrile,43056, Italy,€,Emilian,"This restaurant has a traditional feel, both in its richly decorated dining room and in its cuisine, the roots of which are firmly planted in the region. This is the place for guests who aren’t keen on reinterpreted dishes or exotic fare but prefer the classic flavours of Parma such as cured hams, fresh pasta, and roast and grilled meat, all served in a typical country farmhouse.","['Air conditioning', 'Car park', 'Interesting wine list', 'Terrace']","['Dinersclub', 'Mastercard', 'Visa']",+39 0521 314117,https://www.ristoranteromani.it/,43056,44.89404524,10.35858398,Emilia-Romagna
L'Osteria del Castellazzo,via Borgo Castellazzo 40,Salsomaggiore Terme,43039, Italy,€€,Country cooking,"The determined and enthusiastic young owner of this restaurant graduated with a literature degree before giving in to her passion for food. She swapped her pen for a ladle and now creates delicious local specialities such as braised veal cheeks, alongside dishes from Pïacenza and Mantua, such as pisarei (a type of gnocchi) and sbrisolona cake.","['Air conditioning', 'Terrace']","['Mastercard', 'Visa']",+39 0524 578218,https://www.instagram.com/osteriadelcastellazzo/,43039,44.817162695238096,9.98684937142857,Emilia-Romagna
Aqua Crua,piazza Calcalusso 11/a,Barbarano Mossano,36048, Italy,€€€€,"Creative, Contemporary","Welcome to the wonderful world of chef Giuliano Baldessari, a creative chef who enjoys introducing guests to his gastronomic world. There are two dining options here: the tasting menus showcase the chef’s creativity and precise techniques to the full in courses referred to as “provocazioni”, which focus on the use of just a few ingredients per dish. The second option is the à la carte, which features dishes that demonstrate the generous, classic flavours of the 1980s – for example, the main ingredient in these dishes is often served with an array of small bowls containing accompanying ingredients. The service is also more classic in feel, involving the addition of table linen and period-style glasses, plates and even chairs. Both options, of course, are created by the same chef with the same intention, which is to guide guests through an amusing culinary playground in which boredom and banality have been completely banished. It’s no coincidence that the background music is accompanied by a pleasant play of colourful effects.","['Air conditioning', 'Car park', 'Wheelchair access']","['Amex', 'Unionpay', 'Dinersclub', 'Discover', 'Jcb', 'Maestrocard', 'Mastercard', 'Visa']",+39 0444 776096,https://www.aquacrua.it,36048,45.411100725,11.556466125,Veneto
Charleston,via Generale Magliocco 19,Palermo,90141, Italy,€€€€,"Modern Cuisine, Creative","Before it became famous in Mondello, the renowned Charleston started out here in the centre of Palermo – and it has now returned to its origins, occupying the former Mazzara bar, itself once a favourite with locals. The ground floor is home to a café, cocktail bar and bistro, while the contemporary, Sicilian-style restaurant with an elegant summer terrace occupies the first floor (lift available). Here, young chef Gaetano Verde demonstrates all the skills acquired during his time working at renowned restaurants elsewhere in Italy and further afield. His dishes are clear and precise and often prepared using only three main ingredients – a good example is his grilled beef dish which is served with fermented grapes and sesame cream.","['Air conditioning', 'Counter dining', 'Terrace', 'Wheelchair access']","['Amex', 'Mastercard', 'Visa']",+39 091 450171,https://casacharleston.net/,90141,38.12533234468085,13.351474232624113,Sicilia
La Filanda,via Carducci 21/e,Asola,46041, Italy,€€,"Seafood, Modern Cuisine","Housed on the first floor of an old silkworm factory, with a contemporary-style dining room that opens out on to a beautiful terrace in fine weather, this restaurant is one of the few in the province to serve top-quality fish and seafood, including a good selection of raw options. The cooked dishes on offer demonstrate a light modern touch and are prepared whenever possible using vegetables from the restaurant’s own garden.","['Air conditioning', 'Terrace']","['Amex', 'Unionpay', 'Dinersclub', 'Discover', 'Jcb', 'Maestrocard', 'Mastercard', 'Visa']",+39 0376 720418,https://www.la-filanda.it/,46041,45.216551125,10.409707625,Lombardia
Villa Arcadio,via Palazzina 2,Salò, Salò,25087,€€€,"Mediterranean Cuisine, Contemporary","The new chef at this restaurant prioritises beautiful presentation in his modern interpretations of Italian dishes, which are even more enjoyable in summer when meals are served outdoors, surrounded by greenery and with fine views of the southern part of Lake Garda and its shoreline.","['Air conditioning', 'Car park', 'Garden or park', 'Great view', 'Terrace']","['Amex', 'Dinersclub', 'Mastercard', 'Visa']",+39 0365 42281,https://www.hotelvillaarcadio.it/, Salò,45.6056775,10.520069,Lombardia
Osteria le Logge,via del Porrione 33,Siena,53100, Italy,€€,Contemporary,"Having retained its old shop counter and glass - fronted display cabinets, this former grocer’s shop is perfect for anyone in search of old - world charm. However, the cuisine is the real draw with its focus on quality of the highest level. Wine buffs can ask to visit the wine cellar nearby, housed in a tunnel of Etruscan origin. Simpler dining room on the first floor.","['Air conditioning', 'Interesting wine list', 'Terrace']","['Amex', 'Maestrocard', 'Mastercard', 'Visa']",+39 0577 48013,https://osterialelogge.it/,53100,43.31910095243902,11.330851994794765,Toscana
Corte Visconti,via Roma 9,Somma Lombardo,21019, Italy,€€,"Country cooking, Creative","A classical, rustic style environment with walls in stone and brick vaulted or wood and stone ceilings. The cuisine is authentically local but with a pleasant touch of creativity.","['Air conditioning', 'Terrace']","['Amex', 'Mastercard', 'Visa']",+39 0331 254873,https://www.cortevisconti.it/,21019,45.68275655491898,8.698693346122685,Lombardia
Cuculia,via dei Serragli 3r,Firenze,50124, Italy,€€€,"Contemporary, Creative","This beautiful restaurant with a smart and elegant decor has the feel of a stylish French bistro with a small library-style dining room displaying books on cookery and other subjects. Chef Oliver Betancourt left his home country of Venezuela to train in well-known restaurants in France, Spain and Italy, experiences which have resulted in multi-faceted cuisine influenced by different traditions and prepared using seasonal Italian produce as well as more exotic ingredients such as kombu, soy sauce and koji. The menu offers a good selection of vegetarian dishes, as well as a few vegan options. The wine list includes extensive information on the different labels featured, including an excellent red from Bolgheri Acciderba.","['Air conditioning', 'Restaurant offering vegetarian menus', 'Wheelchair access']","['Amex', 'Dinersclub', 'Mastercard', 'Visa']",+39 055 277 6205,https://www.cuculia.it,50124,43.758065744999996,11.236718528333332,Toscana
Da Ercole,viale Gramsci 122,Crotone,88900, Italy,€€,"Seafood, Regional Cuisine","Situated on Crotone’s seafront, Da Ercole is a culinary institution for anyone who loves fish, with the benefit of 40 years in the business behind it! The salty tang of the Ionian sea is celebrated on an extensive menu, although if you really want to enjoy yourself to the full, let owner-chef and old-school host Ercole guide you in your choice (including some excellent raw fish dishes).","['Air conditioning', 'Terrace']","['Amex', 'Maestrocard', 'Mastercard', 'Visa']",+39 0962 901425,https://www.ristorantedaercole.com/,88900,39.07763205,17.1267531953125,Calabria
Stube Ladina,via Precumon 24,Canale d'Agordo,32020, Italy,€€,"Alpine, Traditional Cuisine","The hotel owner is also the chef, serving carefully prepared and well - presented dishes made from regional produce in a quiet Stube - style dining room. An interesting wine list provides the icing on the cake.","['Air conditioning', 'Terrace']","['Mastercard', 'Visa']",+39 0436 750076,https://www.alpenrosearabba.it/it/ristorante-ad-arabba/,32020,46.364013948546514,11.928630676162792,Veneto
Dolia Gaeta,piazza Conca 22,Gaeta,4024, Italy,€€€,"Contemporary, Mediterranean Cuisine","This brand-new restaurant boasts an elegant, chic decor and a relaxed and informal ambience. The very young team here is overseen by a talented chef who prepares modern and creative dishes with a focus on fish from the local gulf, as well as elsewhere. The wine list is also particularly interesting, featuring a remarkable choice of champagnes and a special emphasis on labels from Lazio.","['Air conditioning', 'Terrace']","['Amex', 'Dinersclub', 'Mastercard', 'Visa']",+39 0771 65129,http://www.doliagaeta.it,04024,41.21761712192983,13.568140434210527,Lazio
